事件号, 发生时间(年), 震级(M), 经度(deg), 纬度(deg), 深度(km)
1, 46.11, 4.66, -89.6236, 35.3604, 14.93
2, 62.24, 4.54, -90.1853, 35.3409, 12.37
3, 80.99, 4.62, -89.8446, 35.2685, 12.08
4, 84.81, 4.55, -90.1044, 35.1334, 7.30
5, 89.69, 4.65, -89.5855, 35.3205, 14.26
6, 91.12, 4.96, -90.0411, 35.0558, 7.95
7, 121.65, 4.71, -90.2351, 35.2174, 10.24
8, 132.44, 4.71, -90.2534, 35.2269, 9.84
9, 176.35, 4.61, -89.9386, 35.4769, 12.47
10, 195.36, 4.64, -90.2373, 35.4379, 12.03
11, 203.89, 5.76, -89.9154, 35.1317, 8.28
12, 249.25, 4.98, -89.6022, 35.2503, 12.37
13, 269.45, 4.93, -90.1006, 35.0893, 9.91
14, 274.83, 4.59, -90.2807, 35.4563, 15.84
15, 282.42, 5.10, -89.5025, 35.4353, 12.33
16, 301.32, 4.58, -89.9905, 35.1492, 15.06
17, 307.93, 4.72, -90.4091, 35.3195, 8.90
18, 310.58, 6.57, -90.4529, 35.3045, 13.71
19, 373.53, 4.97, -90.3904, 35.0764, 10.15
20, 376.23, 4.87, -89.8726, 35.3813, 13.10
21, 380.72, 5.03, -89.7079, 35.2697, 11.22
22, 394.19, 5.35, -90.0778, 35.3893, 10.91
23, 417.46, 5.18, -90.4365, 35.2652, 14.05
24, 418.01, 4.62, -90.1184, 35.0003, 13.05
25, 431.62, 4.51, -89.5039, 35.1621, 12.38
26, 461.34, 4.67, -89.9709, 35.0097, 8.58
27, 490.54, 4.64, -89.5289, 35.4645, 14.82
28, 492.61, 4.61, -89.6392, 35.4394, 10.26
29, 498.92, 5.81, -90.4885, 35.4158, 12.40
